Year,Input,Gerd_storage,Gerd_release,Roseires_storage,Roseires_release,Sennar_storage,Sennar_release,Had_storage,Had_release,Gerd_production
0,[3745.40118847 3802.85722564 7319.93941811 5986.58484197],7386169817.270115,2924.9862879469606,35229596.78901173,4635.271930580729,89789494.58932644,4721.952026135799,128444979031.81674,3894.1015242583217,1322776.0167971193
1,[1560.18640442  623.97808134  580.83612168 8661.76145775],3735623316.244174,1560.186404424365,1279613307.5905526,1045.0691033095427,4393492.43888969,1033.7997835275476,131596418653.50536,3782.6710824528936,530233.5570126482
2,[6011.15011743 2832.29031118  205.84494296 9699.09852162],361307919.9455288,1305.5199733613094,1274049963.286256,1300.6860342832758,5618910.897209004,1276.5678364170105,124493611498.6139,3698.741899533491,243141.45608820504
3,[8324.426408    849.35644271 1818.24967207 1834.04509853],74197079.70134307,161.59044487360683,27469667.3948653,646.9296120521317,2755928.325260168,627.4514541683243,119157943594.77557,3446.967710852664,24771.835492323706
4,[3042.4224296  2099.02572653 4319.45018642 2912.29140198],82859293.0452715,80.26621422377119,27261725.471181292,93.85621228338002,270740.66224584763,62.45944757286622,113586979737.52345,3225.3799069949428,12782.37835081969
5,[6118.52894722  557.97544261 2921.44648535 3663.61843294],240122889.4701175,192.17433663782424,27699577.7480086,250.49604380247087,762585.1082557528,173.12506524759212,106962687100.45078,2977.50548144812,32451.563473372724
6,[4560.69984217 3140.70384557 1996.73782158 5142.34438414],953693676.1492963,739.7460372551157,29603843.675720707,932.2695118473182,3673437.927110602,833.785408583376,99118037042.41786,3140.7038455720544,173822.52234736277
7,[5924.14568862  185.80165088 6075.44851901 1705.24123687],2102030497.7094672,1731.19807426235,32996594.15172294,2147.366624967208,179657092.3577624,1988.6364583403943,95797097480.33403,2458.4061484661092,517102.17808881757
8,[ 650.51592985 3795.54214901 9656.32033075 8083.97348116],4813167974.194876,650.5159298527952,29961028.991487153,1062.1343057186698,4445845.473569989,1078.0106891326031,98652067232.61528,3795.5421490133326,252213.9146600712
9,[3046.13769173  390.68845603 6842.33026512 4401.5249374 ],1671555932.944747,2096.083591345086,33600509.66072822,2363.6628701382388,10303589.978763457,2339.538294494796,100468252335.24927,2545.7584755922767,574209.3182889404
10,[1220.38234845 1980.70764045  343.88521115 9093.20402079],480261393.54205924,831.4681531505151,1265796988.48078,445.1757865884162,1567362.5141329328,359.5882650947538,102885192772.06332,2631.857786564646,159136.39366269062
11,[2587.799816   2650.08913742 3117.11076089 5200.68021178],211535467.10404128,291.9695785490036,28007389.125669263,822.1302970911439,3430255.291091595,778.9081686120721,98171921254.7149,2652.4174050624197,50137.88088137617
12,[5467.10279343  739.4178221  9695.84627765 7751.32823361],114761522.7119209,143.71924399296572,27498493.7308054,178.80475810834366,616665.4063810502,141.20127289597372,95274668820.0115,2428.840253459997,23331.701857437183
13,[9394.98941564 3579.30940171 5978.99978811 9218.74235023],72564995.53787349,85.86908261294481,27278525.09699642,99.88895744773514,236451.47354060208,53.89607700442821,88453906101.15546,3579.3094017105955,12273.888131978145
14,[ 884.92502052  783.93144968  452.27288911 3253.30330763],53481179.32180551,59.188688377719146,27190622.603763826,68.3346023069688,198935.00296152866,45.22650185507638,84314775259.88577,2008.6191112258448,9257.231823460801
15,[3886.77289689 1085.3961271  8287.37509152 3567.53326694],51460684.81681029,52.075701003428044,27192727.52323864,69.05518392795383,214579.50755313574,48.762036757371064,80602329846.9473,1849.4350984599118,7872.142005757743
16,[2809.34509687 2170.78433263 1409.24224975 8021.96980754],81313451.6078011,72.37686989878978,27257024.522648543,92.0701811554299,262884.8707183436,59.728532671107395,76743024969.55219,2170.784332632993,11515.156523437256
17,[ 745.5064368  3947.5477464  7722.44769297 1987.15681534],240007768.59725085,191.62299923335272,27875712.869167957,313.5370674011762,1039923.8999809928,236.04660543772357,68058104608.20242,3947.5477464020687,32356.392378187862
18,[  55.22117124 3261.84571382 7068.57343848 7290.07168041],2393818272.9907103,202.0780546558894,28344793.19227832,481.676297820307,1690720.5389126465,384.0116708635325,60359225923.85122,3261.8457138193367,64360.881465833
19,[7712.70346686  296.17860694 3584.65728544 1158.69059525],2673763005.3720818,2055.394854552752,34405805.236007884,2651.3033461927257,232216932.85094935,2472.430168633082,61311932827.27928,973.0456100464423,693676.3889223917
20,[8631.03425876 2493.19250731 3308.98024853  635.58350286],1864910444.818503,2008.9651357532828,34087597.18062087,2539.6722502061293,224788916.9046503,2490.152173233101,71297182718.26028,2493.1925073102316,552996.4865177192
21,[3109.82321716 1300.73328811 7296.06178338 6375.57471355],991765352.8337002,1253.2798747453637,31354441.88955216,1561.255912137133,6773521.04678474,1620.7817077415004,81483680254.36446,1608.3719487599187,297080.7203423323
22,[8872.12742576 1888.85970065 1195.94245938 7132.44787223],419126045.2874155,593.5503536920563,29163834.740728512,776.1664588627257,3023241.271908723,688.5467632644576,83207802962.63492,1888.8597006477971,110196.83034008456
23,[7607.85048617 2245.10879028 7709.67179955 4937.95596364],207381567.1013192,270.7601892611879,27976856.84880931,350.4597037969434,1355617.7401650972,308.71731774702437,80620331168.6193,2245.1087902779846,46386.71841710012
24,[5227.32829382 1710.16407343  254.19126744 1078.91426993],114479685.62498705,142.2787673631014,27506823.79093449,181.77498115696122,629730.0465239198,143.39137543277454,78636370289.88486,1736.616851402826,23093.96465634218
25,[ 314.29185687 2545.64164506 3143.55981076 5085.70691165],72540211.06251283,85.76325236068561,27286823.995679285,102.86253997956534,249530.2912527076,56.868529717139396,74390198949.38632,2545.6416450551224,12258.574945655062
26,[9075.66473926  997.1689166  4103.82923036 7555.51138543],53479502.05151374,59.18010029982503,27179685.891157363,64.42306181205228,181731.42935841938,41.32790018029715,71795694161.53069,1469.6329845466666,9255.879008706173
27,[2287.98165492  307.91963932 2897.51452914 1612.21287254],51460560.93192747,52.07510428520262,27180264.734086685,64.59024380761112,194942.06273014756,44.29991971299614,69440713494.61394,1369.2749489791406,7872.051196304719
28,[9296.97652343 3232.48151826 6334.0375651  8714.60590188],81313443.18490084,72.37682691174176,27320291.856318742,114.7111593764994,362470.37183310767,82.31710390849199,62878030952.4076,3232.481518257667,11515.14962510647
29,[8036.72076899  746.28023554 8925.5899849  5393.42241916],240007767.96998614,191.6229962292542,27697241.966294724,249.68260827117783,759006.420428653,172.3484929177982,61912884131.7819,1035.9807599957296,32356.39185965687
30,[8074.40155164 3584.36519969 3180.03474972 1100.51924528],953685787.5195452,739.7059970930469,29751610.577062294,985.1596725439762,3906166.1214008713,886.5899490225053,53433508368.40508,3584.365199693973,173812.79711478355
31,[2279.35162542 1708.43115451 8180.14765922 8607.30583256],2102029521.069473,1731.1954936822106,33037858.772034436,2162.191871201114,9101706.297693165,2066.629755955384,54135505514.96767,1708.4311545050257,517101.29255473113
32,[  69.52130531 2042.98921031 4174.11003149 2221.07810471],5646283014.623593,328.9984116470982,29316256.501155913,831.3712273497251,3430524.1230725516,781.8524611254853,62722258769.276306,2042.9892103102625,133556.6600774108
33,[1198.65367334 1350.46068561 9429.09703913 3232.02932021],4899397273.827665,1198.6536733368282,30897194.489228133,1395.8094126292365,6045687.120194433,1373.0435933286808,67172109931.00046,1350.4606856145117,482563.3358085544
34,[5187.90621743 2812.07583558 3636.29602379 9717.82082721],992145438.5953465,1874.331462365563,32506776.262217943,1972.5062418503933,8285876.445839744,1882.2896392864257,65888364495.72285,2812.075835580712,430001.68584287574
35,[9624.47294942 1007.1291833  4972.48505892 3008.78309817],246318116.271713,469.5648604058149,28484532.592110228,533.4230028018374,2160337.0818650047,493.27206568363164,69244017372.96742,1247.4940546223925,82218.27233018643
36,[2848.40494377  147.54778942 6095.6433398  5026.79023229],117121483.35392901,155.78106378110934,27532978.926768225,191.3263771496549,671742.2285937718,153.22422910956809,68651060808.95318,1302.117831437638,25325.48125849352
37,[ 514.7875125  1114.58585695 9082.65885967 2395.61890667],72772528.14836207,86.75525140209432,27352063.818266097,126.22239664313072,352274.81030113006,80.19446195661666,67540657577.13042,1267.3906580510718,12402.131002708806
38,[1448.94872091 1957.81104111 9856.50454111 2420.55271512],53495223.93146922,59.260600580762265,27188506.637816682,67.60467794707463,195724.68020852085,44.54130652093039,63696813865.69678,1957.811041110252,9268.559716816597
39,[6721.35547406 3046.47846131 2376.37543992 7282.16348612],51461722.165906906,52.08069761881942,27179618.426024217,64.36231812187336,193939.61298686336,44.07787316241672,57094026317.5936,3046.47846131487,7872.902398546379
40,[3677.83132719 2529.22332237 6335.29710761 5357.74684075],81313522.13689004,72.37722985049928,27237969.660409424,85.24487334956717,232864.00803861953,52.909110563452664,52555856450.37816,2529.2233223743174,11515.214286558685
41,[ 902.89770054 3341.20998236 3207.80064972 1865.185104  ],240007773.84964603,191.62302438814788,27622215.134065926,222.7970084515707,640723.944316787,145.46174372250874,45739545298.55319,3341.2099823569524,32356.396720101948
42,[ 407.75141555 2363.57177275 6775.64361842  165.87828928],1862871450.724615,400.2816295513045,28831086.867053285,655.6434648027412,23687570.4689104,549.7816866881809,40719415731.392204,2363.571772752967,113811.73433591981
43,[5120.93058299  905.98310079 6451.72790409 1743.66429005],2296969407.1805725,1997.8554228525672,34344563.32248982,2629.5642478692976,229950213.0253973,2459.7401908072898,41753179122.575424,905.9831007917516,623178.1677891591
44,[6909.37738102 1546.9413852  9367.29988737 1375.20944146],1754690619.817978,1906.243635148546,33678076.24840124,2393.0716025170905,209510928.17576057,2348.6284332271916,52943814164.99033,1546.9413852021496,513683.5840260335
45,[3410.6635105   453.89408496 9246.93618279 8773.39353381],984252381.3516309,1215.0053105549453,30964558.53747217,1421.5498869750513,6158924.877240587,1475.6327690137493,64215349948.29945,884.0528224682502,287512.50351437076
46,[2579.41627715 2639.93618414 8172.22200201 5552.00811599],418569224.9643334,590.8742605660844,28854221.110559564,665.1981659857427,2535123.790373072,577.5621782022978,63445715602.49771,2639.9361841367167,109669.13096552636
47,[5296.50578356  967.4091636   931.02767806 8972.15757953],207343733.4092306,270.56701429232317,27832175.150041573,298.5573797751795,1127357.3647749922,256.74295795558055,63688771466.41776,1084.010001634402,46352.63134726419
48,[9004.18057163 2532.40582909 3390.29791049 3492.09574613],114477118.6547761,142.26564751206027,27461526.457878746,165.50743958001544,558176.6401860062,127.07076115197982,59439263875.73354,2532.405829093071,23091.79970927779
49,[7259.5567887  3588.44103981 8870.86424265 7798.75545858],72539985.3256851,85.7622884594903,27276660.863147154,99.20647608317842,233449.69058573234,53.19092618737531,52773481115.05981,3588.4410398103073,12258.435475372115
50,[6420.31646154  336.55985998 1616.28714095 8985.54188527],53479486.77494764,59.180022079671765,27187622.298505254,67.25999023264554,194208.68913723447,44.1529832188199,52572059618.83518,636.6605780001084,9255.866687291698
51,[6064.2905966    36.78820647 1014.71542866 6635.01769108],51460559.803584866,52.075098850297195,27206239.64983621,73.89032948831066,235845.16881475528,53.585118053725054,52319749451.2762,627.3060865984709,7872.0503692129105
52,[  50.61583846  643.23220567 5487.33789367 6918.95197693],139423241.5360186,50.615838462186865,27191533.550296888,68.63367525035757,159800.2706561513,36.34662532442297,52886312288.97799,643.3458301303724,8338.088655940563
53,[6519.61259503  897.07723784 7121.79221348 2372.49087497],244335282.12903026,212.3483465922885,27932488.259952627,333.83302774768873,1129204.7002651293,256.2634962049115,52359771039.63142,897.0772378422391,35942.16269953859
54,[3253.99698159 2985.96562047 6496.32899047 8492.23410494],953982327.7315937,741.2111404755574,29668894.27069674,955.6403940598767,3776274.8847726155,857.2559364158232,45596040370.74352,2985.9656204720964,174178.40037370726
55,[6576.128923   2273.23441334  936.74767828 3677.15803059],2102066233.7864964,1731.2924998551491,1294625524.8712914,1778.6097067508138,7413892.869311791,1683.6174720444158,43914074942.40878,2273.234413341887,517134.58075933787
56,[2652.02367682  975.95857352 9730.10554752 3930.97724667],1728611125.8434968,1841.1520012021135,33697794.82557449,2886.3013421294136,12471979.198060106,2832.589348862306,53923226737.60673,975.9585735163345,493620.658897016
57,[8920.46555177 2524.55450399 7948.11303542 5026.37093105],982474711.1866128,1205.949033554188,31113593.681713022,1474.9022323459776,6393633.058674611,1455.3674663740146,62836177153.66516,2524.554503989052,285253.1019656499
58,[5769.03884626 1970.07077528 1952.42987798 7224.52115262],418437474.4810999,590.2410628739782,28929421.53119957,692.171634405777,2653772.29015728,604.5725135973671,65061214528.79371,1970.0707752754556,109544.3114939329
59,[2807.72362441   97.26386573 6454.72295907 1771.10679407],207334781.49600402,270.5213067374055,27855421.187028855,306.90603982902763,1164073.7992278433,265.1181829700642,65301654883.92752,1149.5377743254785,46344.56613787202
60,[9404.58584353 3815.71430801 9148.6439022  3701.58700255],114476511.27829999,142.26254319520467,27494198.40052946,177.21056983376405,609653.3080347462,138.76449193920294,57615431424.14763,3815.7143080103497,23091.28745733905
61,[ 154.56616529 3713.27425035 4281.84148317 9666.54819044],72539931.9135971,85.76206038870527,27295301.33290947,105.89132303359487,262851.8994573352,59.882367630187154,50657894742.49147,3713.2742503509007,12258.40247500685
62,[9636.19977089 3412.03782187 2944.4889207  3850.97728602],53479483.16032573,59.18000357182902,27181383.840914693,65.03398344124027,184418.35928465327,41.942534944529335,43070572064.13448,3412.037821869439,9255.86377189471
63,[8511.36671517 1267.68802063 1694.92746686 5568.01262458],51460559.536605194,52.07509756433226,27158384.644055486,56.759507904257106,160501.36698041303,36.48680674486528,41264180045.495056,1267.688020625111,7872.050173512907
64,[9361.54774161 2784.1191867  5700.61170089  971.76493771],81313443.09003335,72.3768264275763,27270922.589203756,97.03197220783983,284709.124227018,64.66026147957548,36235808584.565765,2784.119186699892,11515.149547410245
65,[6150.07226699 3960.21540042 1400.84015237 5183.29652364],240007767.96292105,191.62299619541898,27847269.553768996,303.3619082364833,995165.109431746,225.89983268868912,31226510153.931507,2725.383681954766,32356.391853816756
66,[8773.73071928 2963.07447102 6970.15740995 7024.84083987],953685787.5190609,739.7059970905899,29603346.78335145,932.1467984410873,3672897.961471036,833.7497309546075,26650915550.41346,2355.675836387315,173812.79711418686
67,[3594.9115122  1174.36737706 8093.61155479 8101.13394679],2102029521.0694141,1731.1954936820516,33294437.330679476,2253.9751130014165,9505564.971233297,2158.177934408143,27845848138.713276,1174.3673770579735,517101.292554677
68,[8670.7231858  3652.96221023 5113.42398861 5015.16294687],1728607436.4067597,1841.1392666866777,32812394.99085219,2082.819103370128,8936737.415115725,2031.2961351002534,35426731165.65948,2580.476525221551,493616.8878800145
69,[7982.95178967 2599.85572311 7019.66877258 7957.92669436],982474459.7016101,1205.9477523728465,30817438.362763245,1368.5671375771115,5925842.626177235,1347.9063654166982,39454104328.997925,2599.855723111061,285252.7824542976
